valorcontrato1;duracao_dias;fornecedor_num_contratos;fornecedor_valor_medio;fornecedor_num_orgaos;orgao_num_contratos;orgao_valor_medio;orgao_num_fornecedores;anomaly_if;anomaly_score_if;anomaly_lof;anomaly_score_lof
0.0;364.0;177;1756316.0664233577;44;860;2325855.8773766733;529;1;-0.6334487264134313;0;-2.6503239179532505
1310055.6;2191.0;177;1756316.0664233577;44;860;2325855.8773766733;529;1;-0.6867859276588746;0;-2.651806639406069
26996400.0;2195.0;10;6617423.185714285;4;860;2325855.8773766733;529;1;-0.5869641783142503;0;-1.834262938150875
1622740.0;1095.0;52;322669.6701346154;36;860;2325855.8773766733;529;1;-0.5779423594422546;0;-1.5266453342402988
4929781.5;1922.0;59;221101.14921428572;34;860;2325855.8773766733;529;1;-0.6157462837866704;0;-1.5209879789934795
25956024.0;364.0;1;25956024.0;1;860;2325855.8773766733;529;1;-0.5705616089114981;0;-1.7993089133195497
1021890.0;1034.0;55;1005013.8316363636;30;860;2325855.8773766733;529;1;-0.5648621616113259;0;-1.4046983647847513
12207048.31;730.0;6;108936516.46;2;138;708100.8263162163;104;1;-0.5778979478904163;0;-4.7128291912096
1952773.2;365.0;177;1756316.0664233577;44;118;444516.6081657534;75;1;-0.5702380385085583;0;-1.0369661212256518
1779063.84;365.0;177;1756316.0664233577;44;167;1118853.6468839287;108;1;-0.5773147525547577;0;-1.0176142893967293
381562.56;1825.0;177;1756316.0664233577;44;167;1118853.6468839287;108;1;-0.6239706015707808;0;-1.0370270721272825
253751.04;364.0;177;1756316.0664233577;44;17;170464.25470588237;15;1;-0.579378757017816;0;-1.0184052201491545
136182.75;153.0;177;1756316.0664233577;44;17;170464.25470588237;15;1;-0.5845848347990406;0;-1.0182157513355263
1400525.74;365.0;177;1756316.0664233577;44;17;170464.25470588237;15;1;-0.5947830270027337;0;-1.018372884550018
90222.72;364.0;177;1756316.0664233577;44;31;2809598.1193750002;26;1;-0.5745248172644504;0;-0.9762056489255393
1612831.7;453.0;177;1756316.0664233577;44;66;1773331.696969697;51;1;-0.5820341712753663;0;-1.039594249190793
76800000.0;1095.0;44;1929573.220952381;24;66;1773331.696969697;51;1;-0.5704703910541954;0;-2.048507926964254
50975278.7;669.0;15;12013025.326923076;4;119;8212593.031951387;79;1;-0.5747864696315573;0;-1.3458702216053713
122726428.07;630.0;1;122726428.07;1;119;8212593.031951387;79;1;-0.6730174171550208;0;-2.638060183400202
18707538.74;1780.0;4;18707538.74;4;119;8212593.031951387;79;1;-0.5802629936236001;0;-1.0372027814359888
43896297.07;1693.0;3;43896297.07;1;119;8212593.031951387;79;1;-0.6398323321760959;0;-1.5391716664513564
75816893.82;1005.0;1;75816893.82;1;119;8212593.031951387;79;1;-0.6444678731497571;0;-2.05057104686214
14809713.66;2099.0;4;15740822.9025;3;119;8212593.031951387;79;1;-0.5726563251131085;0;-1.035428815251811
11595863.62;2768.0;11;8104938.661428571;5;119;8212593.031951387;79;1;-0.5748134526785244;0;-1.0541752576672416
116602009.19;729.0;2;81826015.31;2;211;1385218.683886256;166;1;-0.6416010241823048;0;-4.253720744682678
0.0;364.0;177;1756316.0664233577;44;211;1385218.683886256;166;1;-0.5768481752361387;0;-1.9529471013390556
1804454.4;364.0;177;1756316.0664233577;44;211;1385218.683886256;166;1;-0.5988337289543242;0;-1.9529464885328245
12381651.6;364.0;177;1756316.0664233577;44;211;1385218.683886256;166;1;-0.6196164525875238;0;-1.9586541037882566
0.0;1642.0;84;2154521.333103448;40;211;1385218.683886256;166;1;-0.574882774386711;0;-1.619784935700243
0.0;364.0;177;1756316.0664233577;44;211;1385218.683886256;166;1;-0.5768481752361387;0;-1.9529471013390556
34243730.64;364.0;6;40693833.84666667;3;294;3397543.2365650246;190;1;-0.5901303387019733;0;-2.269890979696247
7303893.72;730.0;6;108936516.46;2;294;3397543.2365650246;190;1;-0.5868155667873788;0;-4.46428538834102
90222.72;365.0;177;1756316.0664233577;44;294;3397543.2365650246;190;1;-0.6001299774036469;0;-2.041243695984794
30000000.0;606.0;1;30000000.0;1;294;3397543.2365650246;190;1;-0.5781122812676708;1;-135.39956715669354
666394.68;364.0;177;1756316.0664233577;44;294;3397543.2365650246;190;1;-0.6009127867136322;0;-2.0412359243845275
12207048.31;731.0;6;108936516.46;2;294;3397543.2365650246;190;1;-0.5911051556876679;0;-4.467414084613692
6027302.12;730.0;6;108936516.46;2;294;3397543.2365650246;190;1;-0.5803700821278363;0;-4.464829103528619
45111.36;364.0;177;1756316.0664233577;44;294;3397543.2365650246;190;1;-0.5981775623623188;0;-2.0412450033867815
0.0;657802.0;18;1292814.3923076924;8;85;139896.6038095238;67;1;-0.5644686292579404;1;-176.78919687378715
39095400.0;365.0;36;1697528.6455555556;30;200;12706911.211951219;114;1;-0.5622708949948503;0;-1.5479681144131838
112000000.0;366.0;64;8471801.304814814;18;200;12706911.211951219;114;1;-0.6250201702955959;0;-2.1731823955924208
162840000.0;366.0;64;8471801.304814814;18;200;12706911.211951219;114;1;-0.629263309296692;0;-2.580927457832642
128402640.0;365.0;2;64307820.0;2;200;12706911.211951219;114;1;-0.6518747180104218;0;-1.4473795224321901
